"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71"
"1",5,82,6,85,24,348,1000,1000,757.575757575758,1000,500,360.655737704918,927.272727272727,337.278106508876,1000,1000,1000,358.633187772926,350.262008733624,342.43231441048,341.908296943231,182.825327510917,355.927947598253,343.508733624454,342.196506550218,339.106986899563,1000,1000,757.575757575758,1000,500,360.655737704918,927.272727272727,337.278106508876,1000,1000,1000,1000,757.575757575758,1000,500,360.655737704918,927.272727272727,337.278106508876,1000,1000,1000,1000,757.575757575758,1000,500,360.655737704918,927.272727272727,337.278106508876,1000,1000,1000,1000,757.575757575758,1000,500,360.655737704918,927.272727272727,337.278106508876,1000,1000,-3.47525576978024,-1.79992628625445,24.6240517365427,-89.2563192288961,458
"2",1,116,19,324,49,1115,1510.20408163265,1000,1000,1000,758.620689655172,1081.96721311475,618.181818181818,437.869822485207,1000,1000,109.946317962836,1000,138.64487267722,186.381280110117,174.287680660702,61.6978664831383,182.677219545767,156.017205781142,166.314521679284,158.047487955953,1510.20408163265,1000,1000,1000,758.620689655172,1081.96721311475,618.181818181818,437.869822485207,1000,1000,1510.20408163265,1000,1000,1000,758.620689655172,1081.96721311475,618.181818181818,437.869822485207,1000,1000,1510.20408163265,1000,1000,1000,758.620689655172,1081.96721311475,618.181818181818,437.869822485207,1000,1000,1510.20408163265,1000,1000,1000,758.620689655172,1081.96721311475,618.181818181818,437.869822485207,1000,1000,35.900316778529,23.4313239404705,45.7052602792159,-81.4635557951229,1453
"3",10,110,11,119,28,422,1102.04081632653,1000,1000,1000,568.965517241379,934.426229508197,618.181818181818,402.366863905325,1000,1000,260.481927710843,344.771084337349,1000,332.514629948365,327.037865748709,138.636833046472,342.246127366609,334.917383820998,334.729776247849,336.358003442341,1102.04081632653,1000,1000,1000,568.965517241379,934.426229508197,618.181818181818,402.366863905325,1000,1000,1102.04081632653,1000,1000,1000,568.965517241379,934.426229508197,618.181818181818,402.366863905325,1000,1000,1102.04081632653,1000,1000,1000,568.965517241379,934.426229508197,618.181818181818,402.366863905325,1000,1000,1102.04081632653,1000,1000,1000,568.965517241379,934.426229508197,618.181818181818,402.366863905325,1000,1000,21.8542918745718,4.41364243928829,43.3455978862531,-80.0217839065952,581
"4",6,127,8,155,29,598,1204.08163265306,1000,1000,1000,931.034482758621,1049.18032786885,927.272727272727,420.118343195266,1000,1000,200.360864040661,353.494282083863,250.701397712834,1000,314.531130876747,109.124523506989,330.457433290978,278.742058449809,302.583227445997,286.639135959339,1204.08163265306,1000,1000,1000,931.034482758621,1049.18032786885,927.272727272727,420.118343195266,1000,1000,1204.08163265306,1000,1000,1000,931.034482758621,1049.18032786885,927.272727272727,420.118343195266,1000,1000,1204.08163265306,1000,1000,1000,931.034482758621,1049.18032786885,927.272727272727,420.118343195266,1000,1000,1204.08163265306,1000,1000,1000,931.034482758621,1049.18032786885,927.272727272727,420.118343195266,1000,1000,20.5855232521435,8.64661513566247,38.7191672543286,-82.1839427621444,787
"5",6,134,9,139,36,566,1612.24489795918,1000,1000,1000,1000,1049.18032786885,927.272727272727,455.621301775148,1000,1000,208.328894806924,349.817576564581,261.659121171771,330.324900133156,1000,112.444740346205,336.435419440746,292.338215712383,321.552596537949,302.102529960053,1612.24489795918,1000,1000,1000,1000,1049.18032786885,927.272727272727,455.621301775148,1000,1000,1612.24489795918,1000,1000,1000,1000,1049.18032786885,927.272727272727,455.621301775148,1000,1000,1612.24489795918,1000,1000,1000,1000,1049.18032786885,927.272727272727,455.621301775148,1000,1000,1612.24489795918,1000,1000,1000,1000,1049.18032786885,927.272727272727,455.621301775148,1000,1000,-2.71380877890252,-0.229731678126837,24.6817049474413,-94.4071133116764,751
"6",1,35,2,44,10,182,653.061224489796,921.875,575.757575757576,1000,379.310344827586,1000,545.454545454545,301.775147928994,518.518518518518,1000,362.090128755365,399.961373390558,361.583690987124,370.386266094421,360.347639484979,1000,377.888412017167,370.596566523605,367.49356223176,360.673819742489,653.061224489796,921.875,575.757575757576,1000,379.310344827586,1000,545.454545454545,301.775147928994,518.518518518518,1000,653.061224489796,921.875,575.757575757576,1000,379.310344827586,1000,545.454545454545,301.775147928994,518.518518518518,1000,653.061224489796,921.875,575.757575757576,1000,379.310344827586,1000,545.454545454545,301.775147928994,518.518518518518,1000,653.061224489796,921.875,575.757575757576,1000,379.310344827586,1000,545.454545454545,301.775147928994,518.518518518518,1000,1.25732244801126,5.80864945421445,19.1312028888285,-98.1233273519816,233
"7",2,90,14,173,27,597,1510.20408163265,1000,1000,1000,862.068965517241,901.639344262295,1000,349.112426035503,1000,1000,203.051813471503,354.069948186529,263.406735751295,333.251295336788,322.147668393782,109.826424870466,1000,287.213730569948,318.423575129534,289.939119170984,1510.20408163265,1000,1000,1000,862.068965517241,901.639344262295,1000,349.112426035503,1000,1000,1510.20408163265,1000,1000,1000,862.068965517241,901.639344262295,1000,349.112426035503,1000,1000,1510.20408163265,1000,1000,1000,862.068965517241,901.639344262295,1000,349.112426035503,1000,1000,1510.20408163265,1000,1000,1000,862.068965517241,901.639344262295,1000,349.112426035503,1000,1000,11.7233034833053,8.79696456503852,32.2984094334781,-89.6321706077406,772
"8",4,87,7,118,19,510,1285.71428571429,1000,757.575757575758,1000,758.620689655172,934.426229508197,927.272727272727,1000,1000,1000,241.505409582689,360.839258114374,305.587326120556,338.800618238022,331.278207109737,131.020092735703,349.712519319938,1000,333.004636785162,341.656877897991,1285.71428571429,1000,757.575757575758,1000,758.620689655172,934.426229508197,927.272727272727,1000,1000,1000,1285.71428571429,1000,757.575757575758,1000,758.620689655172,934.426229508197,927.272727272727,1000,1000,1000,1285.71428571429,1000,757.575757575758,1000,758.620689655172,934.426229508197,927.272727272727,1000,1000,1000,1285.71428571429,1000,757.575757575758,1000,758.620689655172,934.426229508197,927.272727272727,1000,1000,1000,17.6129433194289,11.0680079916431,32.5091364090985,-86.8580839494237,647
"9",12,150,8,121,28,557,1204.08163265306,1000,1000,1000,793.103448275862,704.918032786885,1000,615.384615384615,1000,1000,217.934426229508,349.766393442623,274.554644808743,334.814207650273,335.979508196721,117.81693989071,342.497267759563,304.777322404372,1000,370.922131147541,1204.08163265306,1000,1000,1000,793.103448275862,704.918032786885,1000,615.384615384615,1000,1000,1204.08163265306,1000,1000,1000,793.103448275862,704.918032786885,1000,615.384615384615,1000,1000,1204.08163265306,1000,1000,1000,793.103448275862,704.918032786885,1000,615.384615384615,1000,1000,1204.08163265306,1000,1000,1000,793.103448275862,704.918032786885,1000,615.384615384615,1000,1000,-21.6790309752734,-9.22922348096226,11.1915162325974,-101.965225522968,732
"10",4,107,7,126,25,524,1326.5306122449,1000,1000,1000,568.965517241379,672.131147540984,927.272727272727,366.863905325444,1000,1000,228.976225854383,350.466567607727,304.337295690936,338.206537890045,330.98514115899,124.135215453195,335.797919762259,330.630014858841,397.884101040119,1000,1326.5306122449,1000,1000,1000,568.965517241379,672.131147540984,927.272727272727,366.863905325444,1000,1000,1326.5306122449,1000,1000,1000,568.965517241379,672.131147540984,927.272727272727,366.863905325444,1000,1000,1326.5306122449,1000,1000,1000,568.965517241379,672.131147540984,927.272727272727,366.863905325444,1000,1000,1326.5306122449,1000,1000,1000,568.965517241379,672.131147540984,927.272727272727,366.863905325444,1000,1000,2.76298917027666,0.871512300292986,27.3987415194512,-89.9963872889062,673
