"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23";"X24";"X25";"X26";"X27";"X28";"X29";"X30";"X31";"X32";"X33";"X34";"X35";"X36";"X37";"X38";"X39";"X40";"X41";"X42";"X43";"X44";"X45";"X46";"X47";"X48";"X49";"X50";"X51";"X52";"X53";"X54";"X55";"X56";"X57";"X58";"X59";"X60";"X61";"X62";"X63";"X64";"X65";"X66";"X67";"X68";"X69";"X70";"X71"
"1";5;82;6;85;24;348;1000;471,428571428571;1000;1000;600;807,692307692308;1000;758,620689655172;161,290322580645;400;1000;358,633187772926;350,262008733624;342,43231441048;341,908296943231;182,825327510917;355,927947598253;343,508733624454;342,196506550218;339,106986899563;1000;471,428571428571;1000;1000;600;807,692307692308;1000;758,620689655172;161,290322580645;400;1000;471,428571428571;1000;1000;600;807,692307692308;1000;758,620689655172;161,290322580645;400;1000;471,428571428571;1000;1000;600;807,692307692308;1000;758,620689655172;161,290322580645;400;1000;471,428571428571;1000;1000;600;807,692307692308;1000;758,620689655172;161,290322580645;400;-3,47525576978024;-1,79992628625445;24,6240517365427;-89,2563192288961;458
"2";1;116;19;324;49;1115;923,076923076923;1000;1333,33333333333;619,047619047619;800;846,153846153846;1000;1000;161,290322580645;600;109,946317962836;1000;138,64487267722;186,381280110117;174,287680660702;61,6978664831383;182,677219545767;156,017205781142;166,314521679284;158,047487955953;923,076923076923;1000;1333,33333333333;619,047619047619;800;846,153846153846;1000;1000;161,290322580645;600;923,076923076923;1000;1333,33333333333;619,047619047619;800;846,153846153846;1000;1000;161,290322580645;600;923,076923076923;1000;1333,33333333333;619,047619047619;800;846,153846153846;1000;1000;161,290322580645;600;923,076923076923;1000;1333,33333333333;619,047619047619;800;846,153846153846;1000;1000;161,290322580645;600;35,900316778529;23,4313239404705;45,7052602792159;-81,4635557951229;1453
"3";10;110;11;119;28;422;641,025641025641;428,571428571429;1000;1000;633,333333333333;538,461538461538;1000;344,827586206897;161,290322580645;400;260,481927710843;344,771084337349;1000;332,514629948365;327,037865748709;138,636833046472;342,246127366609;334,917383820998;334,729776247849;336,358003442341;641,025641025641;428,571428571429;1000;1000;633,333333333333;538,461538461538;1000;344,827586206897;161,290322580645;400;641,025641025641;428,571428571429;1000;1000;633,333333333333;538,461538461538;1000;344,827586206897;161,290322580645;400;641,025641025641;428,571428571429;1000;1000;633,333333333333;538,461538461538;1000;344,827586206897;161,290322580645;400;641,025641025641;428,571428571429;1000;1000;633,333333333333;538,461538461538;1000;344,827586206897;161,290322580645;400;21,8542918745718;4,41364243928829;43,3455978862531;-80,0217839065952;581
"4";6;127;8;155;29;598;871,794871794872;400;1277,77777777778;1000;633,333333333333;653,846153846154;1000;620,689655172414;451,612903225806;533,333333333333;200,360864040661;353,494282083863;250,701397712834;1000;314,531130876747;109,124523506989;330,457433290978;278,742058449809;302,583227445997;286,639135959339;871,794871794872;400;1277,77777777778;1000;633,333333333333;653,846153846154;1000;620,689655172414;451,612903225806;533,333333333333;871,794871794872;400;1277,77777777778;1000;633,333333333333;653,846153846154;1000;620,689655172414;451,612903225806;533,333333333333;871,794871794872;400;1277,77777777778;1000;633,333333333333;653,846153846154;1000;620,689655172414;451,612903225806;533,333333333333;871,794871794872;400;1277,77777777778;1000;633,333333333333;653,846153846154;1000;620,689655172414;451,612903225806;533,333333333333;20,5855232521435;8,64661513566247;38,7191672543286;-82,1839427621444;787
"5";6;134;9;139;36;566;641,025641025641;414,285714285714;1000;1000;1000;538,461538461538;1000;793,103448275862;419,354838709677;400;208,328894806924;349,817576564581;261,659121171771;330,324900133156;1000;112,444740346205;336,435419440746;292,338215712383;321,552596537949;302,102529960053;641,025641025641;414,285714285714;1000;1000;1000;538,461538461538;1000;793,103448275862;419,354838709677;400;641,025641025641;414,285714285714;1000;1000;1000;538,461538461538;1000;793,103448275862;419,354838709677;400;641,025641025641;414,285714285714;1000;1000;1000;538,461538461538;1000;793,103448275862;419,354838709677;400;641,025641025641;414,285714285714;1000;1000;1000;538,461538461538;1000;793,103448275862;419,354838709677;400;-2,71380877890252;-0,229731678126837;24,6817049474413;-94,4071133116764;751
"6";1;35;2;44;10;182;589,74358974359;357,142857142857;833,333333333333;619,047619047619;500;1000;818,181818181818;344,827586206897;161,290322580645;400;362,090128755365;399,961373390558;361,583690987124;370,386266094421;360,347639484979;1000;377,888412017167;370,596566523605;367,49356223176;360,673819742489;589,74358974359;357,142857142857;833,333333333333;619,047619047619;500;1000;818,181818181818;344,827586206897;161,290322580645;400;589,74358974359;357,142857142857;833,333333333333;619,047619047619;500;1000;818,181818181818;344,827586206897;161,290322580645;400;589,74358974359;357,142857142857;833,333333333333;619,047619047619;500;1000;818,181818181818;344,827586206897;161,290322580645;400;589,74358974359;357,142857142857;833,333333333333;619,047619047619;500;1000;818,181818181818;344,827586206897;161,290322580645;400;1,25732244801126;5,80864945421445;19,1312028888285;-98,1233273519816;233
"7";2;90;14;173;27;597;871,794871794872;600;1000;761,904761904762;800;730,769230769231;1000;1310,34482758621;161,290322580645;400;203,051813471503;354,069948186529;263,406735751295;333,251295336788;322,147668393782;109,826424870466;1000;287,213730569948;318,423575129534;289,939119170984;871,794871794872;600;1000;761,904761904762;800;730,769230769231;1000;1310,34482758621;161,290322580645;400;871,794871794872;600;1000;761,904761904762;800;730,769230769231;1000;1310,34482758621;161,290322580645;400;871,794871794872;600;1000;761,904761904762;800;730,769230769231;1000;1310,34482758621;161,290322580645;400;871,794871794872;600;1000;761,904761904762;800;730,769230769231;1000;1310,34482758621;161,290322580645;400;11,7233034833053;8,79696456503852;32,2984094334781;-89,6321706077406;772
"8";4;87;7;118;19;510;871,794871794872;485,714285714286;1277,77777777778;904,761904761905;700;653,846153846154;1000;1000;161,290322580645;533,333333333333;241,505409582689;360,839258114374;305,587326120556;338,800618238022;331,278207109737;131,020092735703;349,712519319938;1000;333,004636785162;341,656877897991;871,794871794872;485,714285714286;1277,77777777778;904,761904761905;700;653,846153846154;1000;1000;161,290322580645;533,333333333333;871,794871794872;485,714285714286;1277,77777777778;904,761904761905;700;653,846153846154;1000;1000;161,290322580645;533,333333333333;871,794871794872;485,714285714286;1277,77777777778;904,761904761905;700;653,846153846154;1000;1000;161,290322580645;533,333333333333;871,794871794872;485,714285714286;1277,77777777778;904,761904761905;700;653,846153846154;1000;1000;161,290322580645;533,333333333333;17,6129433194289;11,0680079916431;32,5091364090985;-86,8580839494237;647
"9";12;150;8;121;28;557;692,307692307692;242,857142857143;1444,44444444444;619,047619047619;833,333333333333;807,692307692308;1000;758,620689655172;1000;1000;217,934426229508;349,766393442623;274,554644808743;334,814207650273;335,979508196721;117,81693989071;342,497267759563;304,777322404372;1000;370,922131147541;692,307692307692;242,857142857143;1444,44444444444;619,047619047619;833,333333333333;807,692307692308;1000;758,620689655172;1000;1000;692,307692307692;242,857142857143;1444,44444444444;619,047619047619;833,333333333333;807,692307692308;1000;758,620689655172;1000;1000;692,307692307692;242,857142857143;1444,44444444444;619,047619047619;833,333333333333;807,692307692308;1000;758,620689655172;1000;1000;692,307692307692;242,857142857143;1444,44444444444;619,047619047619;833,333333333333;807,692307692308;1000;758,620689655172;1000;1000;-21,6790309752734;-9,22922348096226;11,1915162325974;-101,965225522968;732
"10";4;107;7;126;25;524;1051,28205128205;442,857142857143;1611,11111111111;619,047619047619;633,333333333333;538,461538461538;1000;758,620689655172;741,935483870968;1000;228,976225854383;350,466567607727;304,337295690936;338,206537890045;330,98514115899;124,135215453195;335,797919762259;330,630014858841;397,884101040119;1000;1051,28205128205;442,857142857143;1611,11111111111;619,047619047619;633,333333333333;538,461538461538;1000;758,620689655172;741,935483870968;1000;1051,28205128205;442,857142857143;1611,11111111111;619,047619047619;633,333333333333;538,461538461538;1000;758,620689655172;741,935483870968;1000;1051,28205128205;442,857142857143;1611,11111111111;619,047619047619;633,333333333333;538,461538461538;1000;758,620689655172;741,935483870968;1000;1051,28205128205;442,857142857143;1611,11111111111;619,047619047619;633,333333333333;538,461538461538;1000;758,620689655172;741,935483870968;1000;2,76298917027666;0,871512300292986;27,3987415194512;-89,9963872889062;673
